title,keywords,everything,topic,authors,journal,links,full_title
disruption of podocyte cytoskeletal biomechanics by dasatinib leads to nephrotoxicity.,,disruption of podocyte cytoskeletal biomechanics by dasatinib leads to nephrotoxicity.,CELLULAR/SUBCELLULAR,"Calizo RC, Bhattacharya S, van Hasselt JGC, Wei C, Wong JS, Wiener RJ, Ge X, Wong NJ, Lee JJ, Cuttitta CM, Jayaraman G, Au VH, Janssen W, Liu T, Li H, Salem F, Jaimes EA, Murphy B, Campbell KN, Azeloglu EU,",*Nature communications*,* [Disruption of podocyte cytoskeletal biomechanics by dasatinib leads to nephrotoxicity.](https://www.ncbi.nlm.nih.gov/pubmed/31053734),Disruption of podocyte cytoskeletal biomechanics by dasatinib leads to nephrotoxicity.
"morphine, but not methadone, inhibits microsomal prostaglandin e synthase-1 and prostaglandin-endoperoxide synthase 2 in lipopolysaccharide-stimulated horse synoviocytes.",arthritis lps opioids ptgs2 mpges-1,"morphine, but not methadone, inhibits microsomal prostaglandin e synthase-1 and prostaglandin-endoperoxide synthase 2 in lipopolysaccharide-stimulated horse synoviocytes.",CELLULAR/SUBCELLULAR,"Schwarzbach SV, Melo CF, Xavier PLP, Roballo KC, Cordeiro YG, Ambrósio CE, Fukumasu H, Carregaro AB,",*Biochimie*,"* [Morphine, but not methadone, inhibits microsomal prostaglandin E synthase-1 and prostaglandin-endoperoxide synthase 2 in lipopolysaccharide-stimulated horse synoviocytes.](https://www.ncbi.nlm.nih.gov/pubmed/30763639)","Morphine, but not methadone, inhibits microsomal prostaglandin E synthase-1 and prostaglandin-endoperoxide synthase 2 in lipopolysaccharide-stimulated horse synoviocytes."
genome-wide effect of pulmonary airway epithelial cell-specific  bmal1 deletion.,circadian clock circadian lung function food entrainment influenza infection metabolic entrainment,genome-wide effect of pulmonary airway epithelial cell-specific  bmal1 deletion.,CELLULAR/SUBCELLULAR,"Zhang Z, Hunter L, Wu G, Maidstone R, Mizoro Y, Vonslow R, Fife M, Hopwood T, Begley N, Saer B, Wang P, Cunningham P, Baxter M, Durrington H, Blaikley JF, Hussell T, Rattray M, Hogenesch JB, Gibbs J, Ray DW, Loudon ASI,",*FASEB journal : official publication of the Federation of American Societies for Experimental Biology*,* [Genome-wide effect of pulmonary airway epithelial cell-specific <i>Bmal1</i> deletion.](https://www.ncbi.nlm.nih.gov/pubmed/30794439),Genome-wide effect of pulmonary airway epithelial cell-specific <i>Bmal1</i> deletion.
exposure to dilute concentrations of bupropion affects zebrafish early life stages.,antidepressants behavior danio rerio emerging pollutants enzymatic biomarkers fish embryo toxicity test,exposure to dilute concentrations of bupropion affects zebrafish early life stages.,COMPARATIVE,"Franco MB, Andrade TS, Sousa-Moura D, Lopes da Silva M, Machado Ferraz IB, Camargo NS, Domingues I, Oliveira R, Grisolia CK,",*Chemosphere*,* [Exposure to dilute concentrations of bupropion affects zebrafish early life stages.](https://www.ncbi.nlm.nih.gov/pubmed/30708151),Exposure to dilute concentrations of bupropion affects zebrafish early life stages.
growth and biomechanics of shoot organs.,cell wall flowers growth leaves mechanical feedback mechanical stress morphogenesis organogenesis shoot lateral organs turgor pressure,growth and biomechanics of shoot organs.,COMPARATIVE,"Echevin E, Le Gloanec C, Skowrońska N, Routier-Kierzkowska AL, Burian A, Kierzkowski D,",*Journal of experimental botany*,* [Growth and biomechanics of shoot organs.](https://www.ncbi.nlm.nih.gov/pubmed/31037307),Growth and biomechanics of shoot organs.
a study on the physiological and behavioral mechanisms underlying the differences in survival capacity between two cyprinid fish species.,behavior morphology predation survival swimming performance,a study on the physiological and behavioral mechanisms underlying the differences in survival capacity between two cyprinid fish species.,COMPARATIVE,"Fu C, Cui YL, Xu JJ, Wang Y, Fu SJ,","*Comparative biochemistry and physiology. Part A, Molecular & integrative physiology*",* [A study on the physiological and behavioral mechanisms underlying the differences in survival capacity between two cyprinid fish species.](https://www.ncbi.nlm.nih.gov/pubmed/30703561),A study on the physiological and behavioral mechanisms underlying the differences in survival capacity between two cyprinid fish species.
"fish exposed to water contaminated with eprinomectin show inhibition of the activities of ache and na<sup>+</sup>/k<sup>+</sup>-atpase in the brain, and changes in natural behavior.",antiparasitic aquatic organisms brain damage contaminant locomotor alterations,"fish exposed to water contaminated with eprinomectin show inhibition of the activities of ache and na<sup>+</sup>/k<sup>+</sup>-atpase in the brain, and changes in natural behavior.",COMPARATIVE,"Serafini S, de Freitas Souza C, Baldissera MD, Baldisserotto B, Segat JC, Baretta D, Zanella R, Schafer da Silva A,",*Chemosphere*,"* [Fish exposed to water contaminated with eprinomectin show inhibition of the activities of AChE and Na<sup>+</sup>/K<sup>+</sup>-ATPase in the brain, and changes in natural behavior.](https://www.ncbi.nlm.nih.gov/pubmed/30772591)","Fish exposed to water contaminated with eprinomectin show inhibition of the activities of AChE and Na<sup>+</sup>/K<sup>+</sup>-ATPase in the brain, and changes in natural behavior."
effective mechanical advantage allometry of felid elbow and knee extensors.,biomechanics locomotion quadriceps scaling triceps brachii,effective mechanical advantage allometry of felid elbow and knee extensors.,COMPARATIVE,"Harper CM, Sylvester AD,","*Anatomical record (Hoboken, N.J. : 2007)*",* [Effective Mechanical Advantage Allometry of Felid Elbow and Knee Extensors.](https://www.ncbi.nlm.nih.gov/pubmed/30312539),Effective Mechanical Advantage Allometry of Felid Elbow and Knee Extensors.
circadian rhythms and locomotor activity of smolts of the european river lamprey lampetra fluviatilis (l.).,,circadian rhythms and locomotor activity of smolts of the european river lamprey lampetra fluviatilis (l.).,COMPARATIVE,"Zvezdin AO, Pavlov DS, Kucheryavyy AV, Tsimbalov IA,","*Doklady biological sciences : proceedings of the Academy of Sciences of the USSR, Biological sciences sections*",* [Circadian Rhythms and Locomotor Activity of Smolts of the European River Lamprey Lampetra fluviatilis (L.).](https://www.ncbi.nlm.nih.gov/pubmed/31016498),Circadian Rhythms and Locomotor Activity of Smolts of the European River Lamprey Lampetra fluviatilis (L.).
adverse effects of p-tsa-doped polypyrrole particulate exposure during zebrafish (danio rerio) development.,behavior nanomaterials nanotoxicity ppy ppy/p-tsa zebrafish development,adverse effects of p-tsa-doped polypyrrole particulate exposure during zebrafish (danio rerio) development.,COMPARATIVE,"Costa KM, Pereira TCB, Valente CA, Pissinate K, Soares JC, Cruz FF, Corte TWF, Machado P, Basso NRS, Bogo MR,","*Colloids and surfaces. B, Biointerfaces*",* [Adverse effects of p-TSA-doped polypyrrole particulate exposure during zebrafish (Danio rerio) development.](https://www.ncbi.nlm.nih.gov/pubmed/30711760),Adverse effects of p-TSA-doped polypyrrole particulate exposure during zebrafish (Danio rerio) development.
defense by exploitation in negev gerbils.,gerbils movement optimal foraging patch depletion,defense by exploitation in negev gerbils.,COMPARATIVE,"Menezes JFS, Kotler BP, Dixon AK,",*Behavioural processes*,* [Defense by exploitation in Negev gerbils.](https://www.ncbi.nlm.nih.gov/pubmed/30716385),Defense by exploitation in Negev gerbils.
a ketogenic diet diminishes behavioral responses to cocaine in young adult male and female rats.,addiction adenosine behavioral sensitization dopamine ketone locomotion rearing stereotypy,a ketogenic diet diminishes behavioral responses to cocaine in young adult male and female rats.,COMPARATIVE,"Martinez LA, Lees ME, Ruskin DN, Masino SA,",*Neuropharmacology*,* [A ketogenic diet diminishes behavioral responses to cocaine in young adult male and female rats.](https://www.ncbi.nlm.nih.gov/pubmed/30731137),A ketogenic diet diminishes behavioral responses to cocaine in young adult male and female rats.
transcriptomic analysis of the life-extending effect exerted by black rice anthocyanin extract in d. melanogaster through regulation of aging pathways.,black rice anthocyanin extract fruit fly lifespan rna-seq,transcriptomic analysis of the life-extending effect exerted by black rice anthocyanin extract in d. melanogaster through regulation of aging pathways.,COMPARATIVE,"Li X, Zhang Z, Zhang X, Cheng J, Liu D, Yan Y, Wang H,",*Experimental gerontology*,* [Transcriptomic analysis of the life-extending effect exerted by black rice anthocyanin extract in D. melanogaster through regulation of aging pathways.](https://www.ncbi.nlm.nih.gov/pubmed/30682390),Transcriptomic analysis of the life-extending effect exerted by black rice anthocyanin extract in D. melanogaster through regulation of aging pathways.
the effects of cinnamaldehyde on acute or chronic stress-induced anxiety-related behavior and locomotion in male mice.,cinnamaldehyde acute stress anxiety chronic stress locomotion mice,the effects of cinnamaldehyde on acute or chronic stress-induced anxiety-related behavior and locomotion in male mice.,COMPARATIVE,"Etaee F, Komaki A, Faraji N, Rezvani-Kamran A, Komaki S, Hasanein P, Taheri M, Omidi G,","*Stress (Amsterdam, Netherlands)*",* [The effects of cinnamaldehyde on acute or chronic stress-induced anxiety-related behavior and locomotion in male mice.](https://www.ncbi.nlm.nih.gov/pubmed/30806129),The effects of cinnamaldehyde on acute or chronic stress-induced anxiety-related behavior and locomotion in male mice.
three-dimensional ct observation of position and movability of the scapula in the horse using carcasses of falabella.,ct falabella horse ribcage scapula,three-dimensional ct observation of position and movability of the scapula in the horse using carcasses of falabella.,COMPARATIVE,"Endo H, Nguyen ST, Yoshida M, Kudo K,","*Anatomia, histologia, embryologia*",* [Three-dimensional CT observation of position and movability of the scapula in the horse using carcasses of Falabella.](https://www.ncbi.nlm.nih.gov/pubmed/30695818),Three-dimensional CT observation of position and movability of the scapula in the horse using carcasses of Falabella.
effects of 50 hz magnetic fields on circadian rhythm control in mice.,elf animals behavior biological clock clock genes,effects of 50 hz magnetic fields on circadian rhythm control in mice.,COMPARATIVE,"Lundberg L, Sienkiewicz Z, Anthony DC, Broom KA,",*Bioelectromagnetics*,* [Effects of 50 Hz magnetic fields on circadian rhythm control in mice.](https://www.ncbi.nlm.nih.gov/pubmed/30945762),Effects of 50 Hz magnetic fields on circadian rhythm control in mice.
the body center of mass in primates: is it more caudal than in other quadrupedal mammals?,centre of mass locomotor evolution morphotype primates,the body center of mass in primates: is it more caudal than in other quadrupedal mammals?,COMPARATIVE,"Druelle F, Berthet M, Quintard B,",*American journal of physical anthropology*,* [The body center of mass in primates: Is it more caudal than in other quadrupedal mammals?](https://www.ncbi.nlm.nih.gov/pubmed/30839107),The body center of mass in primates: Is it more caudal than in other quadrupedal mammals?
neurotoxic effects of sublethal concentrations of cyanobacterial extract containing anatoxin-a(s) on nauphoeta cinerea cockroaches.,anatoxin-a(s) anticholinesterase activity central nervous system neurotoxicity neuromuscular blockade organophosphate compounds trichlorfon,neurotoxic effects of sublethal concentrations of cyanobacterial extract containing anatoxin-a(s) on nauphoeta cinerea cockroaches.,COMPARATIVE,"Dos Santos DS, Rosa ME, Zanatta AP, Oliveira RS, de Almeida CGM, Leal AP, Sanz M, Fernandes KA, de Souza VQ, de Assis DR, Pinto E, Belo CAD,",*Ecotoxicology and environmental safety*,* [Neurotoxic effects of sublethal concentrations of cyanobacterial extract containing anatoxin-a(s) on Nauphoeta cinerea cockroaches.](https://www.ncbi.nlm.nih.gov/pubmed/30599431),Neurotoxic effects of sublethal concentrations of cyanobacterial extract containing anatoxin-a(s) on Nauphoeta cinerea cockroaches.
optical toxicity of triphenyl phosphate in zebrafish larvae.,opsin optical toxicity retina triphenyl phosphate zebrafish,optical toxicity of triphenyl phosphate in zebrafish larvae.,COMPARATIVE,"Shi Q, Wang Z, Chen L, Fu J, Han J, Hu B, Zhou B,","*Aquatic toxicology (Amsterdam, Netherlands)*",* [Optical toxicity of triphenyl phosphate in zebrafish larvae.](https://www.ncbi.nlm.nih.gov/pubmed/30851488),Optical toxicity of triphenyl phosphate in zebrafish larvae.
pharmacological characterization of the 5-ht1a receptor of bombyx mori and its role in locomotion.,5-ht1a receptor locomotion pharmacology serotonin silkworm,pharmacological characterization of the 5-ht1a receptor of bombyx mori and its role in locomotion.,COMPARATIVE,"Xiong R, Zhao W, Chen X, Li T, Li H, Li Y, Shen W, Chen P,","*Comparative biochemistry and physiology. Part A, Molecular & integrative physiology*",* [Pharmacological characterization of the 5-HT1A receptor of Bombyx mori and its role in locomotion.](https://www.ncbi.nlm.nih.gov/pubmed/30690153),Pharmacological characterization of the 5-HT1A receptor of Bombyx mori and its role in locomotion.
metabolic and functional impacts of hypoxia vary with size in atlantic salmon.,aquaculture cortisol critical swimming speed lactate metabolic scaling oxygen salmo salar stress swim tunnel respirometry,metabolic and functional impacts of hypoxia vary with size in atlantic salmon.,COMPARATIVE,"Oldham T, Nowak B, Hvas M, Oppedal F,","*Comparative biochemistry and physiology. Part A, Molecular & integrative physiology*",* [Metabolic and functional impacts of hypoxia vary with size in Atlantic salmon.](https://www.ncbi.nlm.nih.gov/pubmed/30690152),Metabolic and functional impacts of hypoxia vary with size in Atlantic salmon.
